,描述,位置信息,区域,房屋信息,关注信息,总价,单价,Type,Area,Direction,Decoration,Floor,Other,Floor_No,Total_Floor,1室1厅 ,1室2厅 ,2室1厅 ,2室2厅 ,3室1厅 ,3室2厅 ,4室1厅 ,4室2厅 ,5室2厅 ,5室3厅 ,6室3厅 ,室厅,南,东,西,东南,西南,东北,北,西北
0,嘉裕第六洲龙泽台 4室2厅 280万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 223.73平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 31天以前发布,280,12516.0,4室2厅 , 223.73平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,嘉裕第六洲龙泽台清水大套三双卫洋房小区一梯两户采光,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.8平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,105.7,8403.0,3室2厅 , 125.8平米 , 东南 , 毛坯 , 中楼层(共7层)  , 板楼, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
198,青城神韵一期 3室2厅 98万,青城神韵一期 ,崇州,3室2厅 | 105平米 | 南 | 其他 | 低楼层(共3层)  | 塔楼,1人关注 / 1个月以前发布,98,9334.0,3室2厅 , 105平米 , 南 , 其他 , 低楼层(共3层)  , 塔楼, 低楼层,3  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
199,嘉裕第六洲龙泽台 3室1厅 204万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 204.68平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,204,9967.0,3室1厅 , 204.68平米 , 东南 , 其他 , 低楼层(共6层)  , 板楼, 低楼层,6  ,False,0,0,0,1,0,0,0,0,0,0,,,,,1.0,,,,
200,嘉裕第六洲龙泽台 3室1厅 175万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 208.8平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,175,8382.0,3室1厅 , 208.8平米 , 东南 , 其他 , 低楼层(共7层)  , 暂无数据, 低楼层,7  ,False,0,0,0,1,0,0,0,0,0,0,,,,,1.0,,,,
201,嘉裕第六洲龙泽台 3室2厅 105万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.74平米 | 东北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,105,8285.0,3室2厅 , 126.74平米 , 东北 , 其他 , 中楼层(共6层)  , 暂无数据, 中楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,,,,,,,1.0,,
202,嘉裕第六洲龙泽台 3室1厅 110万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 125平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,110,8800.0,3室1厅 , 125平米 , 东南 , 其他 , 中楼层(共6层)  , 板楼, 中楼层,6  ,False,0,0,0,1,0,0,0,0,0,0,,,,,1.0,,,,
204,嘉裕第六洲龙泽台 3室2厅 120万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.78平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,120,9541.0,3室2厅 , 125.78平米 , 东南 , 其他 , 中楼层(共8层)  , 暂无数据, 中楼层,8  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
205,嘉裕第六洲龙泽台 4室2厅 199万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 220平米 | 西南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,199,9046.0,4室2厅 , 220平米 , 西南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,,,,,,1.0,,,
207,嘉裕第六洲龙泽台 3室2厅 106万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.74平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,106,8364.0,3室2厅 , 126.74平米 , 南 , 其他 , 中楼层(共7层)  , 暂无数据, 中楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
209,嘉裕第六洲 联排别墅  拎包入住 随时可以看房,嘉裕第六洲 ,崇州,5室2厅 | 177.95平米 | 东南 | 简装 | 低楼层(共2层)  | 板楼,18人关注 / 8个月以前发布,260,14611.0,5室2厅 , 177.95平米 , 东南 , 简装 , 低楼层(共2层)  , 板楼, 低楼层,2  ,False,0,0,0,0,0,0,0,1,0,0,,,,,1.0,,,,
210,嘉裕第六洲独栋别墅诚心出售，产权在手,嘉裕第六洲 ,崇州,5室3厅 | 242.21平米 | 南 | 其他 | 低楼层(共1层)  | 板楼,2人关注 / 3个月以前发布,420,17341.0,5室3厅 , 242.21平米 , 南 , 其他 , 低楼层(共1层)  , 板楼, 低楼层,1  ,False,0,0,0,0,0,0,0,0,1,0,,1.0,,,,,,,
211,嘉裕第六洲龙泽台 4室2厅 180万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 208.18平米 | 东南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,180,8647.0,4室2厅 , 208.18平米 , 东南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,,,,,1.0,,,,
